Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Cachambi;1;0;0;40;800.0;130.0;14.0
Praça Seca;1;0;0;60;750.0;30.0;237.5
Tijuca;1;0;0;40;1100.0;500.0;20.0
Quintino Bocaiúva;1;1;0;39;600.0;354.0;472.0
Lins de Vasconcelos;1;1;0;62;900.0;500.0;373.8
Flamengo;1;1;0;35;1000.0;490.0;613.4
Flamengo;1;0;0;36;1000.0;495.0;55.0
Vila Isabel;1;0;0;45;1000.0;350.0;20.0
Guadalupe;1;0;0;33;500.0;1008.5;283.5
Campo Grande;1;1;0;55;750.0;517.0;339.25
Copacabana;1;0;0;31;1100.0;397.0;67.0
Engenho Novo;1;0;0;46;1100.0;500.0;174.5
Laranjeiras;1;0;0;24;900.0;415.0;29.0
Vila da Penha;1;0;0;40;800.0;562.0;173.66666666666666
Madureira;1;0;0;40;600.0;222.0;52.0
Taquara;1;1;0;55;700.0;406.0;101.5
Taquara;1;0;0;50;800.0;3165.0;13.0
Todos os Santos;1;0;0;70;800.0;656.0;39.0
Rocha Miranda;1;0;0;65;650.0;1150.0;105.0
Tijuca;1;1;0;35;900.0;335.0;20.0
Copacabana;1;0;0;36;1100.0;805.0;70.0
Tijuca;1;1;1;40;1000.0;594.0;135.5
Tijuca;1;0;0;58;1100.0;408.0;1446.6666666666665
Vila da Penha;1;0;0;37;700.0;50.0;379.0
Higienópolis;1;0;0;45;800.0;1028.0;1437.3333333333335
Tanque;1;0;0;45;750.0;75.0;310.5
Tijuca;1;0;1;33;900.0;460.0;25.0
Centro;1;0;0;35;900.0;517.0;25.0
Quintino Bocaiúva;1;0;0;50;1100.0;145.0;374.5
Madureira;1;0;0;50;750.0;200.0;312.42857142857144
Marechal Hermes;1;0;0;29;490.0;2400.0;891.5
Centro;1;0;0;26;750.0;400.0;276.0
Glória;1;0;0;47;1150.0;500.0;25.0
Méier;1;0;0;35;1100.0;200.0;35.0
Tauá;1;0;0;40;1150.0;80.0;20.0
